Metabolite,RT,MZ,Intensity
0.71_627.5742m/z,0.71,627.5742,21.43093923
0.71_630.5284m/z,0.71,630.5284,7129.168508
0.71_632.5260m/z,0.71,632.526,41921.03867
0.71_634.5229m/z,0.71,634.5229,94056.56906
0.71_636.5201m/z,0.71,636.5201,87424.04972
0.71_638.5174m/z,0.71,638.5174,44503.1547
0.71_640.5145m/z,0.71,640.5145,19444.69061
0.71_642.5108m/z,0.71,642.5108,41307.71271
0.71_648.5007m/z,0.71,648.5007,28550.81492
0.71_650.4975m/z,0.71,650.4975,63371.9558
0.71_652.4944m/z,0.71,652.4944,63741.33425
0.71_654.4917m/z,0.71,654.4917,34639.3895
0.71_655.5164m/z,0.71,655.5164,2139.787293
0.71_656.4903m/z,0.71,656.4903,8837.477901
0.71_657.5129m/z,0.71,657.5129,4167.207182
0.71_663.5028m/z,0.71,663.5028,5399.127072
0.71_668.4689m/z,0.71,668.4689,18411.11878
0.71_671.4897m/z,0.71,671.4897,5726.975138
0.71_672.4883m/z,0.71,672.4883,7945.143646
0.71_673.4867m/z,0.71,673.4867,18140.1105
0.71_676.5070m/z,0.71,676.507,33458.75138
0.71_678.5042m/z,0.71,678.5042,36466.89503
0.71_692.4820m/z,0.71,692.482,67935.22099
0.71_694.4792m/z,0.71,694.4792,76764.46961
0.71_696.4764m/z,0.71,696.4764,49260.74586
0.71_698.4734m/z,0.71,698.4734,18165.65746
0.71_700.4698m/z,0.71,700.4698,16774.0221
0.71_706.4593m/z,0.71,706.4593,23829.79282
0.71_708.4562m/z,0.71,708.4562,59115.59669
0.71_710.4535m/z,0.71,710.4535,69635.29834
0.71_712.4505m/z,0.71,712.4505,46338.8674
0.71_714.4480m/z,0.71,714.448,15741.24586
0.71_724.4303m/z,0.71,724.4303,22256.4337
0.71_726.4274m/z,0.71,726.4274,28566.49171
0.71_728.4246m/z,0.71,728.4246,18801.68508
0.71_736.4645m/z,0.71,736.4645,10310.16851
0.71_738.4613m/z,0.71,738.4613,2190.60221
0.71_750.4413m/z,0.71,750.4413,21710.38122
0.71_752.4382m/z,0.71,752.4382,30608.18508
0.71_754.4354m/z,0.71,754.4354,20263.44751
0.71_758.4293m/z,0.71,758.4293,4598.527624
0.71_766.4152m/z,0.71,766.4152,19935.4779
0.71_768.4122m/z,0.71,768.4122,30183.05525
0.71_770.4092m/z,0.71,770.4092,20632.32044
0.71_784.3852m/z,0.71,784.3852,9199.339779
0.71_792.4268m/z,0.71,792.4268,35967.6105
0.71_794.4235m/z,0.71,794.4235,51498.87569
0.71_796.4209m/z,0.71,796.4209,43811.48895
0.71_798.4182m/z,0.71,798.4182,20761.41989
0.71_800.4132m/z,0.71,800.4132,5111.008287
0.71_806.4039m/z,0.71,806.4039,42096.01657
0.71_808.4003m/z,0.71,808.4003,110866.2597
0.71_810.3974m/z,0.71,810.3974,154263.9199
0.71_812.3942m/z,0.71,812.3942,132824.6409
0.71_814.3915m/z,0.71,814.3915,75653.76243
0.71_816.3901m/z,0.71,816.3901,37126.89779
0.71_818.3869m/z,0.71,818.3869,17964.87017
0.71_820.3831m/z,0.71,820.3831,12831.75138
0.71_822.3775m/z,0.71,822.3775,43807.59392
0.71_824.3744m/z,0.71,824.3744,112691.9779
0.71_826.3713m/z,0.71,826.3713,161292.384
0.71_828.3684m/z,0.71,828.3684,140174.6768
0.71_830.3653m/z,0.71,830.3653,83962.10221
0.71_832.3621m/z,0.71,832.3621,34833.34254
0.71_834.3597m/z,0.71,834.3597,17454.12707
0.71_838.3516m/z,0.71,838.3516,18183.6989
0.71_840.3475m/z,0.71,840.3475,55425.73757
0.71_842.3448m/z,0.71,842.3448,81919.91436
0.71_844.3420m/z,0.71,844.342,73731.6547
0.71_846.3384m/z,0.71,846.3384,41617.96961
0.72_124.0061m/z,0.72,124.0061,66651.3232
0.72_128.8908m/z,0.72,128.8908,2248.966851
0.72_130.8879m/z,0.72,130.8879,2428.218232
0.72_135.0286m/z,0.72,135.0286,31109.13536
0.72_140.8712m/z,0.72,140.8712,307.9696133
0.72_146.0446m/z,0.72,146.0446,37548.44751
0.72_181.9651m/z,0.72,181.9651,16508.90055
0.72_191.0550m/z,0.72,191.055,15179.44475
0.72_202.9969m/z,0.72,202.9969,2491.342541
0.72_318.9376m/z,0.72,318.9376,5064.450276
0.72_332.7507m/z,0.72,332.7507,9375.944751
0.72_350.7861m/z,0.72,350.7861,18165.06077
0.72_355.8420m/z,0.72,355.842,3389.837017
0.72_356.7107m/z,0.72,356.7107,2284.519337
0.72_382.7212m/z,0.72,382.7212,37153.08287
0.72_386.7153m/z,0.72,386.7153,99493.90055
0.72_388.7123m/z,0.72,388.7123,49733.13812
0.72_390.7094m/z,0.72,390.7094,9401.09116
0.72_406.6834m/z,0.72,406.6834,10700.61326
0.72_414.6690m/z,0.72,414.669,10512.9116
0.72_434.8550m/z,0.72,434.855,5835.254144
0.72_436.8519m/z,0.72,436.8519,18563.5884
0.72_438.8490m/z,0.72,438.849,6249.049724
0.72_448.6679m/z,0.72,448.6679,41656.60773
0.72_452.8262m/z,0.72,452.8262,9032.110497
0.72_466.6390m/z,0.72,466.639,8493.361878
0.72_468.7004m/z,0.72,468.7004,2658.243094
0.72_492.8211m/z,0.72,492.8211,1032.618785
0.72_494.8107m/z,0.72,494.8107,11778.95304
0.72_498.6382m/z,0.72,498.6382,34964.75967
0.72_506.7969m/z,0.72,506.7969,182.7292818
0.72_508.6233m/z,0.72,508.6233,9645.71547
0.72_510.7846m/z,0.72,510.7846,17047.94751
0.72_524.5975m/z,0.72,524.5975,19421.71271
0.72_540.5715m/z,0.72,540.5715,5688.267956
0.72_550.7800m/z,0.72,550.78,186.6436464
0.72_554.7657m/z,0.72,554.7657,3297.395028
0.72_556.5964m/z,0.72,556.5964,25166.94199
0.72_622.7154m/z,0.72,622.7154,199.0966851
0.72_642.6828m/z,0.72,642.6828,234.1298343
0.72_690.4851m/z,0.72,690.4851,25644.55249
0.72_772.4059m/z,0.72,772.4059,5250.837017
0.72_124.0139m/z,0.72,124.0139,19935.40331
0.72_134.8952m/z,0.72,134.8952,1.839779006
0.72_149.0443m/z,0.72,149.0443,22179.96685
0.72_157.0260m/z,0.72,157.026,17.26243094
0.72_160.8408m/z,0.72,160.8408,95880.56077
0.72_162.8379m/z,0.72,162.8379,94863.22099
0.72_164.8350m/z,0.72,164.835,10866.61878
0.72_166.7324m/z,0.72,166.7324,994.8425414
0.72_166.8598m/z,0.72,166.8598,15335.82597
0.72_167.0199m/z,0.72,167.0199,3989936.564
0.72_168.0231m/z,0.72,168.0231,208549.1768
0.72_170.8535m/z,0.72,170.8535,1452.533149
0.72_183.9621m/z,0.72,183.9621,1867.701657
0.72_192.9875m/z,0.72,192.9875,298.0220994
0.72_199.0370m/z,0.72,199.037,50683.21271
0.72_201.0340m/z,0.72,201.034,14245.50552
0.72_224.9791m/z,0.72,224.9791,229641.6133
0.72_226.9762m/z,0.72,226.9762,72569.43923
0.72_260.0234m/z,0.72,260.0234,4232.823204
0.72_260.9800m/z,0.72,260.98,75875.92541
0.72_302.8738m/z,0.72,302.8738,63.93370166
0.72_347.0844m/z,0.72,347.0844,21332.64641
0.72_357.8389m/z,0.72,357.8389,6943.5
0.72_410.7418m/z,0.72,410.7418,15869.49448
0.72_426.7157m/z,0.72,426.7157,13595.08287
0.72_446.7520m/z,0.72,446.752,124.3121547
0.72_470.6970m/z,0.72,470.697,1114.616022
0.72_560.6717m/z,0.72,560.6717,201.6961326
0.72_596.7112m/z,0.72,596.7112,91.0718232
0.72_618.6305m/z,0.72,618.6305,214.9502762
0.72_648.6324m/z,0.72,648.6324,283.961326
0.72_662.6126m/z,0.72,662.6126,355.1767956
0.72_672.6420m/z,0.72,672.642,236.3149171
0.72_682.5817m/z,0.72,682.5817,218.9116022
0.72_686.5318m/z,0.72,686.5318,373.9143646
0.73_78.9173m/z,0.73,78.9173,61693.10773
0.73_80.9153m/z,0.73,80.9153,72038.84807
0.73_96.0188m/z,0.73,96.0188,2614.911602
0.73_97.0029m/z,0.73,97.0029,1021.406077
0.73_137.0343m/z,0.73,137.0343,214.5414365
0.73_140.0089m/z,0.73,140.0089,4687.814917
0.73_167.3100m/z,0.73,167.31,571.8701657
0.73_168.8565m/z,0.73,168.8565,16128.40884
0.73_183.0150m/z,0.73,183.015,213419.0442
0.73_184.0183m/z,0.73,184.0183,10373.0663
0.73_193.0345m/z,0.73,193.0345,45.69889503
0.73_204.0037m/z,0.73,204.0037,964.3093923
0.73_240.9742m/z,0.73,240.9742,31593.5
0.73_242.9713m/z,0.73,242.9713,7049.903315
0.73_246.9614m/z,0.73,246.9614,10775.93923
0.73_258.9821m/z,0.73,258.9821,61754.20994
0.73_260.7868m/z,0.73,260.7868,3097.292818
0.73_262.7838m/z,0.73,262.7838,10675.79282
0.73_264.7810m/z,0.73,264.781,4069.372928
0.73_282.9382m/z,0.73,282.9382,24768.19613
0.73_284.9353m/z,0.73,284.9353,14520.64641
0.73_292.8274m/z,0.73,292.8274,28659.64088
0.73_294.8243m/z,0.73,294.8243,28282.48619
0.73_298.9331m/z,0.73,298.9331,9820.751381
0.73_304.9203m/z,0.73,304.9203,10145.14641
0.73_312.1090m/z,0.73,312.109,1482.174033
0.73_330.8013m/z,0.73,330.8013,9207.375691
0.73_340.8968m/z,0.73,340.8968,13974.82597
0.73_342.8939m/z,0.73,342.8939,13352.83978
0.73_356.8919m/z,0.73,356.8919,18891.49171
0.73_358.8890m/z,0.73,358.889,18747.86464
0.73_372.8658m/z,0.73,372.8658,3152.950276
0.73_373.0257m/z,0.73,373.0257,10920.95028
0.73_374.8629m/z,0.73,374.8629,3307.696133
0.73_392.7503m/z,0.73,392.7503,104.3646409
0.73_396.7438m/z,0.73,396.7438,202.3425414
0.73_398.8553m/z,0.73,398.8553,27109.91713
0.73_400.8525m/z,0.73,400.8525,37770.8453
0.73_402.8501m/z,0.73,402.8501,22091.87017
0.73_408.7240m/z,0.73,408.724,158.9088398
0.73_414.7155m/z,0.73,414.7155,115.4392265
0.73_414.8505m/z,0.73,414.8505,8443.439227
0.73_416.8473m/z,0.73,416.8473,13891.51934
0.73_458.8115m/z,0.73,458.8115,9821.662983
0.73_466.7283m/z,0.73,466.7283,204.1132597
0.73_474.8061m/z,0.73,474.8061,1790.350829
0.73_482.6566m/z,0.73,482.6566,196.4005525
0.73_528.7249m/z,0.73,528.7249,148.9972376
0.73_590.5879m/z,0.73,590.5879,386.5248619
0.73_606.5628m/z,0.73,606.5628,376.7983425
0.73_644.5509m/z,0.73,644.5509,353.2237569
0.73_656.5783m/z,0.73,656.5783,340.1022099
0.73_846.4299m/z,0.73,846.4299,340.1187845
0.73_139.0249m/z,0.73,139.0249,1567.870166
0.73_168.8350m/z,0.73,168.835,1316.135359
0.73_180.0655m/z,0.73,180.0655,21053.92818
0.73_197.0213m/z,0.73,197.0213,89.04696133
0.73_197.8071m/z,0.73,197.8071,133999.9088
0.73_219.0803m/z,0.73,219.0803,689.781768
0.73_238.0248m/z,0.73,238.0248,15823.58011
0.73_265.0737m/z,0.73,265.0737,10.93093923
0.73_272.8426m/z,0.73,272.8426,1322.555249
0.73_281.0544m/z,0.73,281.0544,6581.947514
0.73_296.1349m/z,0.73,296.1349,298.4171271
0.73_300.9303m/z,0.73,300.9303,4089.18232
0.73_309.0998m/z,0.73,309.0998,56.3839779
0.73_323.0790m/z,0.73,323.079,533.0607735
0.73_366.1089m/z,0.73,366.1089,8419.649171
0.73_367.1051m/z,0.73,367.1051,54832.28453
0.73_368.7571m/z,0.73,368.7571,12059.57735
0.73_413.8984m/z,0.73,413.8984,3555.38674
0.73_414.8301m/z,0.73,414.8301,4496.240331
0.73_416.8268m/z,0.73,416.8268,12640.06354
0.73_432.8216m/z,0.73,432.8216,4990.146409
0.73_514.6580m/z,0.73,514.658,309.7071823
0.73_524.8499m/z,0.73,524.8499,7892.129834
0.73_582.5992m/z,0.73,582.5992,228.6270718
0.73_820.4270m/z,0.73,820.427,591.9337017
0.73_119.0489m/z,0.73,119.0489,13.64088398
0.73_133.0130m/z,0.73,133.013,40407.21823
0.73_142.9974m/z,0.73,142.9974,1683.991713
0.73_148.0424m/z,0.73,148.0424,635.4005525
0.73_177.0394m/z,0.73,177.0394,2076.226519
0.73_201.8011m/z,0.73,201.8011,10606.28729
0.73_226.9958m/z,0.73,226.9958,24055.08011
0.73_240.0219m/z,0.73,240.0219,2908.48895
0.73_243.0619m/z,0.73,243.0619,64197.96685
0.73_259.0225m/z,0.73,259.0225,1940.185083
0.73_279.0389m/z,0.73,279.0389,122837.4475
0.73_281.0360m/z,0.73,281.036,36060.79006
0.73_286.9798m/z,0.73,286.9798,587.0911602
0.73_295.9837m/z,0.73,295.9837,5620.51105
0.73_297.9807m/z,0.73,297.9807,2331.701657
0.73_344.8924m/z,0.73,344.8924,15658.01657
0.73_412.7390m/z,0.73,412.739,1558.925414
0.73_525.0578m/z,0.73,525.0578,5991.20442
0.74_75.0072m/z,0.74,75.0072,1350.674033
0.74_115.0023m/z,0.74,115.0023,8205.624309
0.74_119.0337m/z,0.74,119.0337,30870.55249
0.74_145.0130m/z,0.74,145.013,12644.39227
0.74_180.0516m/z,0.74,180.0516,37.27348066
0.74_191.0188m/z,0.74,191.0188,579944.3232
0.74_197.0671m/z,0.74,197.0671,38761.99448
0.74_208.9851m/z,0.74,208.9851,825.1961326
0.74_221.0660m/z,0.74,221.066,3756.872928
0.74_228.9930m/z,0.74,228.993,3947.28453
0.74_248.9780m/z,0.74,248.978,22697.00276
0.74_286.9340m/z,0.74,286.934,20247.80939
0.74_288.9313m/z,0.74,288.9313,3083.812155
0.74_322.9885m/z,0.74,322.9885,7112.737569
0.74_324.9864m/z,0.74,324.9864,6840.560773
0.74_353.0192m/z,0.74,353.0192,585.8480663
0.74_430.9617m/z,0.74,430.9617,68517.42818
0.74_534.8988m/z,0.74,534.8988,1541.174033
0.74_554.7663m/z,0.74,554.7663,77.4198895
0.74_680.5015m/z,0.74,680.5015,279.7845304
0.74_706.4592m/z,0.74,706.4592,340.7928177
0.74_777.8265m/z,0.74,777.8265,5853.058011
0.74_792.4264m/z,0.74,792.4264,534.0441989
0.74_798.4180m/z,0.74,798.418,315.6657459
0.74_116.0340m/z,0.74,116.034,4290.78453
0.74_128.0340m/z,0.74,128.034,65970.40884
0.74_147.0286m/z,0.74,147.0286,23918.48343
0.74_188.0012m/z,0.74,188.0012,383.160221
0.74_219.0675m/z,0.74,219.0675,41.97513812
0.74_229.0460m/z,0.74,229.046,2568.441989
0.74_232.0281m/z,0.74,232.0281,774.0745856
0.74_250.0391m/z,0.74,250.0391,1709.922652
0.74_250.9751m/z,0.74,250.9751,3330.348066
0.74_261.0198m/z,0.74,261.0198,108.8453039
0.74_270.9602m/z,0.74,270.9602,75147.74033
0.74_313.1343m/z,0.74,313.1343,128.4917127
0.74_328.9190m/z,0.74,328.919,31646.89779
0.74_350.9010m/z,0.74,350.901,5934.68232
0.74_359.0344m/z,0.74,359.0344,82.61325967
0.74_408.9801m/z,0.74,408.9801,45907.66022
0.74_418.8242m/z,0.74,418.8242,1577.077348
0.74_452.9616m/z,0.74,452.9616,8004.983425
0.74_474.9434m/z,0.74,474.9434,47661.33149
0.74_490.9175m/z,0.74,490.9175,35287.76243
0.74_494.1160m/z,0.74,494.116,561.7292818
0.74_503.0760m/z,0.74,503.076,18038.01657
0.74_518.8736m/z,0.74,518.8736,11.8121547
0.74_532.9020m/z,0.74,532.902,33780.20442
0.74_582.8087m/z,0.74,582.8087,1360.016575
0.75_110.9744m/z,0.75,110.9744,166.2569061
0.75_111.0074m/z,0.75,111.0074,34670.66298
0.75_133.0493m/z,0.75,133.0493,5223.245856
0.75_140.8713m/z,0.75,140.8713,260.058011
0.75_144.9662m/z,0.75,144.9662,566.538674
0.75_160.0603m/z,0.75,160.0603,5349.906077
0.75_175.0237m/z,0.75,175.0237,836.2624309
0.75_176.9926m/z,0.75,176.9926,2669.81768
0.75_181.0357m/z,0.75,181.0357,14677.1105
0.75_182.0448m/z,0.75,182.0448,6475.563536
0.75_184.0969m/z,0.75,184.0969,10.2320442
0.75_185.9930m/z,0.75,185.993,10849.9116
0.75_187.0410m/z,0.75,187.041,45202.26519
0.75_187.9901m/z,0.75,187.9901,2598.038674
0.75_189.0395m/z,0.75,189.0395,38394.56354
0.75_206.9381m/z,0.75,206.9381,1328.441989
0.75_214.8833m/z,0.75,214.8833,6302.779006
0.75_215.1030m/z,0.75,215.103,266.0497238
0.75_229.1551m/z,0.75,229.1551,259.2734807
0.75_241.0118m/z,0.75,241.0118,2983.627072
0.75_242.9911m/z,0.75,242.9911,2786.041436
0.75_244.9882m/z,0.75,244.9882,333.3314917
0.75_245.1140m/z,0.75,245.114,2310.475138
0.75_264.8972m/z,0.75,264.8972,2455.994475
0.75_272.9574m/z,0.75,272.9574,20922.76519
0.75_277.0734m/z,0.75,277.0734,12458.45304
0.75_279.0260m/z,0.75,279.026,615.8093923
0.75_308.0989m/z,0.75,308.0989,1717.270718
0.75_326.0882m/z,0.75,326.0882,66488.98343
0.75_330.9160m/z,0.75,330.916,18167.6105
0.75_346.8899m/z,0.75,346.8899,2354.475138
0.75_349.1107m/z,0.75,349.1107,175.8950276
0.75_352.7831m/z,0.75,352.7831,28241.80663
0.75_356.0988m/z,0.75,356.0988,2430.825967
0.75_362.0647m/z,0.75,362.0647,273.1712707
0.75_381.0303m/z,0.75,381.0303,4535.569061
0.75_393.0060m/z,0.75,393.006,78563.90608
0.75_408.9331m/z,0.75,408.9331,66536.13812
0.75_410.9300m/z,0.75,410.93,46863.86188
0.75_417.8292m/z,0.75,417.8292,98.43093923
0.75_444.0020m/z,0.75,444.002,2210.599448
0.75_448.9979m/z,0.75,448.9979,809.4972376
0.75_454.9118m/z,0.75,454.9118,3978.71547
0.75_457.9792m/z,0.75,457.9792,568.3453039
0.75_459.9766m/z,0.75,459.9766,315.3950276
0.75_466.8915m/z,0.75,466.8915,40008.29558
0.75_468.9355m/z,0.75,468.9355,5282.955801
0.75_489.9241m/z,0.75,489.9241,102.1104972
0.75_499.9639m/z,0.75,499.9639,1665.90884
0.75_575.8937m/z,0.75,575.8937,462.3618785
0.75_657.0603m/z,0.75,657.0603,838.3232044
0.75_731.8182m/z,0.75,731.8182,719.3950276
0.75_766.8355m/z,0.75,766.8355,17195.88122
0.75_767.3371m/z,0.75,767.3371,9873.638122
0.75_778.3282m/z,0.75,778.3282,4023.983425
0.75_778.8295m/z,0.75,778.8295,840.2955801
0.75_87.0072m/z,0.75,87.0072,16538.09669
0.75_88.9110m/z,0.75,88.911,291.9171271
0.75_99.0073m/z,0.75,99.0073,4021.234807
0.75_129.0180m/z,0.75,129.018,67233.1989
0.75_138.0548m/z,0.75,138.0548,1862.356354
0.75_146.9818m/z,0.75,146.9818,44878.79834
0.75_148.9789m/z,0.75,148.9789,13922.28453
0.75_173.0081m/z,0.75,173.0081,65688.93094
0.75_186.0446m/z,0.75,186.0446,9660.770718
0.75_188.0556m/z,0.75,188.0556,489.3370166
0.75_198.9238m/z,0.75,198.9238,12222.5442
0.75_205.0345m/z,0.75,205.0345,3476.425414
0.75_212.8862m/z,0.75,212.8862,12767.18785
0.75_214.0173m/z,0.75,214.0173,191.9475138
0.75_262.9003m/z,0.75,262.9003,2253.320442
0.75_267.0959m/z,0.75,267.0959,482.5248619
0.75_276.0774m/z,0.75,276.0774,873.7955801
0.75_277.0416m/z,0.75,277.0416,510160.6436
0.75_293.0154m/z,0.75,293.0154,100420.1602
0.75_315.0156m/z,0.75,315.0156,15257.81492
0.75_335.0007m/z,0.75,335.0007,214452.2155
0.75_336.9976m/z,0.75,336.9976,56600.20442
0.75_350.9744m/z,0.75,350.9744,101006.6409
0.75_381.9217m/z,0.75,381.9217,2779.301105
0.75_384.0469m/z,0.75,384.0469,12416.72652
0.75_388.9012m/z,0.75,388.9012,7259.019337
0.75_392.9592m/z,0.75,392.9592,119374.1851
0.75_394.9558m/z,0.75,394.9558,75026.27348
0.75_400.0205m/z,0.75,400.0205,910.820442
0.75_442.0053m/z,0.75,442.0053,3604.925414
0.75_452.9148m/z,0.75,452.9148,53062.03867
0.75_468.8885m/z,0.75,468.8885,44546.97238
0.75_501.9608m/z,0.75,501.9608,1679.78453
0.75_503.9576m/z,0.75,503.9576,237.5027624
0.75_508.8761m/z,0.75,508.8761,19982.76519
0.75_510.8731m/z,0.75,510.8731,32770.3011
0.75_515.9374m/z,0.75,515.9374,429.9392265
0.75_516.0978m/z,0.75,516.0978,476.9116022
0.75_517.9346m/z,0.75,517.9346,450.0469613
0.75_519.8678m/z,0.75,519.8678,19799.98343
0.75_526.8472m/z,0.75,526.8472,35851.69061
0.75_528.8446m/z,0.75,528.8446,5892.20442
0.75_557.9222m/z,0.75,557.9222,666.1325967
0.75_561.9163m/z,0.75,561.9163,222.3453039
0.76_73.0280m/z,0.76,73.028,843.0248619
0.76_82.9526m/z,0.76,82.9526,146.8121547
0.76_86.0313m/z,0.76,86.0313,5.174033149
0.76_89.0229m/z,0.76,89.0229,601816.9724
0.76_117.0180m/z,0.76,117.018,12291.03867
0.76_130.0497m/z,0.76,130.0497,14072.18785
0.76_130.0861m/z,0.76,130.0861,8596.878453
0.76_164.0706m/z,0.76,164.0706,1731.270718
0.76_182.0270m/z,0.76,182.027,814.218232
0.76_200.9209m/z,0.76,200.9209,7735.941989
0.76_204.9409m/z,0.76,204.9409,3355.712707
0.76_217.0375m/z,0.76,217.0375,920.8701657
0.76_218.1027m/z,0.76,218.1027,13952.54972
0.76_239.0281m/z,0.76,239.0281,2.303867403
0.76_252.9795m/z,0.76,252.9795,3858.925414
0.76_254.9816m/z,0.76,254.9816,18667.37293
0.76_313.0189m/z,0.76,313.0189,72778.96409
0.76_320.8590m/z,0.76,320.859,3619.21547
0.76_322.8560m/z,0.76,322.856,6235.494475
0.76_348.0698m/z,0.76,348.0698,1355.751381
0.76_386.0436m/z,0.76,386.0436,3135.950276
0.76_402.0174m/z,0.76,402.0174,177.160221
0.76_445.0702m/z,0.76,445.0702,4668.792818
0.76_450.9179m/z,0.76,450.9179,55067.74862
0.76_517.8708m/z,0.76,517.8708,28031.20994
0.76_559.9189m/z,0.76,559.9189,1043.187845
0.76_573.8963m/z,0.76,573.8963,157.5082873
0.76_582.1549m/z,0.76,582.1549,444.0359116
0.76_617.8775m/z,0.76,617.8775,290.6823204
0.76_653.1833m/z,0.76,653.1833,199.6823204
0.76_662.1421m/z,0.76,662.1421,295.6160221
0.76_807.3207m/z,0.76,807.3207,3450.096685
0.76_124.9901m/z,0.76,124.9901,2890.185083
0.76_125.0095m/z,0.76,125.0095,2.226519337
0.76_144.0290m/z,0.76,144.029,318.4447514
0.76_155.8645m/z,0.76,155.8645,1039.085635
0.76_243.9917m/z,0.76,243.9917,154.0552486
0.76_370.0779m/z,0.76,370.0779,6392.814917
0.76_403.9503m/z,0.76,403.9503,30546.41436
0.76_409.9361m/z,0.76,409.9361,90.09668508
0.76_446.0472m/z,0.76,446.0472,221.3176796
0.76_459.9123m/z,0.76,459.9123,50488.88398
0.76_461.9094m/z,0.76,461.9094,25830.53591
0.76_539.1394m/z,0.76,539.1394,1434.406077
0.76_593.0463m/z,0.76,593.0463,2347.185083
0.76_604.1372m/z,0.76,604.1372,162.4005525
0.76_680.0495m/z,0.76,680.0495,2441.049724
0.77_85.0287m/z,0.77,85.0287,2.220994475
0.77_126.9039m/z,0.77,126.9039,4198.618785
0.77_227.0438m/z,0.77,227.0438,548.5497238
0.77_257.0061m/z,0.77,257.0061,189.9198895
0.77_269.0877m/z,0.77,269.0877,4514.618785
0.77_370.9298m/z,0.77,370.9298,18531.71547
0.77_372.9272m/z,0.77,372.9272,19906.96133
0.77_401.1064m/z,0.77,401.1064,1109.486188
0.77_577.0727m/z,0.77,577.0727,12354.43646
0.77_640.1602m/z,0.77,640.1602,258.7458564
0.77_197.0534m/z,0.77,197.0534,156029.6326
0.77_202.9970m/z,0.77,202.997,607.0828729
0.77_203.9964m/z,0.77,203.9964,4810.516575
0.77_255.0128m/z,0.77,255.0128,83489.32044
0.77_260.9985m/z,0.77,260.9985,1560.883978
0.77_312.9719m/z,0.77,312.9719,17995.5
0.77_314.9687m/z,0.77,314.9687,9949.049724
0.77_368.7574m/z,0.77,368.7574,3873.687845
0.77_417.0979m/z,0.77,417.0979,497.3867403
0.77_423.0884m/z,0.77,423.0884,28648.43923
0.77_430.8858m/z,0.77,430.8858,11480.77901
0.77_651.0521m/z,0.77,651.0521,5296.461326
0.77_806.8183m/z,0.77,806.8183,5623.524862
0.78_146.0639m/z,0.78,146.0639,2709.033149
0.78_153.8674m/z,0.78,153.8674,3541.29558
0.78_165.0043m/z,0.78,165.0043,8716.922652
0.78_195.0527m/z,0.78,195.0527,35.25138122
0.78_197.0308m/z,0.78,197.0308,69390.77624
0.78_211.9702m/z,0.78,211.9702,3638.917127
0.78_259.1298m/z,0.78,259.1298,2869.665746
0.78_270.8457m/z,0.78,270.8457,1091.958564
0.78_270.9869m/z,0.78,270.9869,9843.585635
0.78_322.9692m/z,0.78,322.9692,630.2292818
0.78_453.1217m/z,0.78,453.1217,12915.49724
0.78_462.9127m/z,0.78,462.9127,20.19889503
0.78_475.1036m/z,0.78,475.1036,15797.49171
0.78_497.0862m/z,0.78,497.0862,8072.541436
0.78_542.0570m/z,0.78,542.057,5028.314917
0.78_577.8264m/z,0.78,577.8264,4763.447514
0.78_95.9508m/z,0.78,95.9508,1740.18232
0.78_114.0183m/z,0.78,114.0183,521.7596685
0.78_172.0064m/z,0.78,172.0064,230.6325967
0.78_173.0809m/z,0.78,173.0809,219.8259669
0.78_174.0872m/z,0.78,174.0872,1147.472376
0.78_193.0344m/z,0.78,193.0344,1347.607735
0.78_214.8358m/z,0.78,214.8358,176.820442
0.78_225.0488m/z,0.78,225.0488,5372.917127
0.78_250.9937m/z,0.78,250.9937,93.14640884
0.78_274.0026m/z,0.78,274.0026,4590.98895
0.78_295.0075m/z,0.78,295.0075,18370.98343
0.78_317.0129m/z,0.78,317.0129,7563.527624
0.78_376.0215m/z,0.78,376.0215,49.56906077
0.78_391.0279m/z,0.78,391.0279,117.9337017
0.78_431.1396m/z,0.78,431.1396,1880.270718
0.78_454.9592m/z,0.78,454.9592,5329.008287
0.78_470.8838m/z,0.78,470.8838,2776.917127
0.78_482.0973m/z,0.78,482.0973,66.05248619
0.78_657.0592m/z,0.78,657.0592,1068.185083
0.78_153.0655m/z,0.78,153.0655,120.718232
0.78_154.0109m/z,0.78,154.0109,10019.79558
0.78_162.0396m/z,0.78,162.0396,105.0082873
0.78_177.8589m/z,0.78,177.8589,111.6353591
0.78_274.1045m/z,0.78,274.1045,5518.98895
0.78_283.9942m/z,0.78,283.9942,2152.350829
0.78_471.1345m/z,0.78,471.1345,1461.577348
0.78_555.0906m/z,0.78,555.0906,37190.37017
0.78_573.1039m/z,0.78,573.1039,4387.348066
0.79_101.0230m/z,0.79,101.023,14102.91436
0.79_154.9270m/z,0.79,154.927,99007.14641
0.79_173.0379m/z,0.79,173.0379,295.1022099
0.79_173.9855m/z,0.79,173.9855,51850.45856
0.79_189.9879m/z,0.79,189.9879,2054.334254
0.79_197.0212m/z,0.79,197.0212,35.72928177
0.79_220.0279m/z,0.79,220.0279,7116.433702
0.79_237.0488m/z,0.79,237.0488,117941.9448
0.79_253.0230m/z,0.79,253.023,3342.776243
0.79_277.0330m/z,0.79,277.033,243.7320442
0.79_295.0311m/z,0.79,295.0311,2945.314917
0.79_301.0085m/z,0.79,301.0085,25.52762431
0.79_379.9247m/z,0.79,379.9247,23596.56354
0.79_397.0007m/z,0.79,397.0007,10704.22928
