Metabolite,RT,MZ,Intensity
0.33_198.0416m/z,0.33,198.0416,445.8845361
0.33_199.0370m/z,0.33,199.037,1292.417526
0.33_199.0619m/z,0.33,199.0619,129.2329897
0.33_199.8046m/z,0.33,199.8046,2778.447423
0.33_201.0525m/z,0.33,201.0525,1746.37732
0.33_201.0771m/z,0.33,201.0771,429.214433
0.33_202.0366m/z,0.33,202.0366,1294.216495
0.33_202.0728m/z,0.33,202.0728,645.8546392
0.33_203.0568m/z,0.33,203.0568,131.7659794
0.33_204.0272m/z,0.33,204.0272,1183.785567
0.33_205.0113m/z,0.33,205.0113,894.6731959
0.33_206.0316m/z,0.33,206.0316,183.4618557
0.33_206.0431m/z,0.33,206.0431,993.3845361
0.33_207.0270m/z,0.33,207.027,819.3061856
0.33_209.0579m/z,0.33,209.0579,809.657732
0.33_214.0481m/z,0.33,214.0481,1674.916495
0.33_215.0322m/z,0.33,215.0322,696.2154639
0.33_216.8537m/z,0.33,216.8537,22388.58351
0.33_218.0429m/z,0.33,218.0429,665.8958763
0.33_219.0381m/z,0.33,219.0381,1185.625773
0.33_219.0633m/z,0.33,219.0633,379.4175258
0.33_220.0476m/z,0.33,220.0476,280.2752577
0.33_221.0539m/z,0.33,221.0539,829.2556701
0.33_222.0379m/z,0.33,222.0379,1084.617526
0.33_227.0436m/z,0.33,227.0436,370.3237113
0.33_228.0388m/z,0.33,228.0388,469.6608247
0.33_228.0889m/z,0.33,228.0889,171.7226804
0.33_229.0841m/z,0.33,229.0841,389.8453608
0.33_231.0749m/z,0.33,231.0749,404.2195876
0.33_232.0588m/z,0.33,232.0588,1650.845361
0.33_234.0382m/z,0.33,234.0382,889.0896907
0.33_234.0496m/z,0.33,234.0496,123.471134
0.33_235.0224m/z,0.33,235.0224,582.3371134
0.33_237.0490m/z,0.33,237.049,906.0835052
0.33_238.0333m/z,0.33,238.0333,1067.42268
0.33_239.0800m/z,0.33,239.08,423.8958763
0.33_240.0642m/z,0.33,240.0642,397.957732
0.33_242.0798m/z,0.33,242.0798,853.714433
0.33_243.0499m/z,0.33,243.0499,696.5226804
0.33_245.0436m/z,0.33,245.0436,645.8298969
0.33_245.0662m/z,0.33,245.0662,565.9164948
0.33_246.0496m/z,0.33,246.0496,689.4381443
0.33_247.0342m/z,0.33,247.0342,376.7092784
0.33_249.0492m/z,0.33,249.0492,572.2319588
0.33_252.0491m/z,0.33,252.0491,306.3680412
0.33_253.0596m/z,0.33,253.0596,592.485567
0.33_253.0847m/z,0.33,253.0847,139.1257732
0.33_254.0439m/z,0.33,254.0439,256.0793814
0.33_254.0799m/z,0.33,254.0799,312.7
0.33_255.0753m/z,0.33,255.0753,736.8958763
0.33_255.1003m/z,0.33,255.1003,397.4113402
0.33_257.0545m/z,0.33,257.0545,402.6041237
0.33_260.0544m/z,0.33,260.0544,410.443299
0.33_261.0745m/z,0.33,261.0745,89.04536082
0.33_263.0803m/z,0.33,263.0803,510.9072165
0.33_264.0607m/z,0.33,264.0607,447.5226804
0.33_266.0801m/z,0.33,266.0801,87.74536082
0.33_267.0757m/z,0.33,267.0757,309.556701
0.33_267.1006m/z,0.33,267.1006,79.21958763
0.33_269.0549m/z,0.33,269.0549,519.3525773
0.33_271.0345m/z,0.33,271.0345,349.0484536
0.33_272.0657m/z,0.33,272.0657,648.7783505
0.33_273.0498m/z,0.33,273.0498,960.4680412
0.33_276.0604m/z,0.33,276.0604,362.9804124
0.33_277.0448m/z,0.33,277.0448,830.6804124
0.33_280.1071m/z,0.33,280.1071,158.6154639
0.33_285.0501m/z,0.33,285.0501,871.857732
0.33_285.0610m/z,0.33,285.061,404.3319588
0.33_301.0558m/z,0.33,301.0558,277.528866
0.33_316.7797m/z,0.33,316.7797,1534.781443
0.33_328.0679m/z,0.33,328.0679,580.3969072
0.33_84.0189m/z,0.33,84.0189,253.3546392
0.33_94.9794m/z,0.33,94.9794,616.485567
0.33_105.0446m/z,0.33,105.0446,264.2793814
0.33_118.0398m/z,0.33,118.0398,971.043299
0.33_125.8723m/z,0.33,125.8723,734.9
0.33_132.0556m/z,0.33,132.0556,1705.220619
0.33_133.0509m/z,0.33,133.0509,2137.757732
