Compound_ID,MZ,RT,Intensity,Metabolite
2.21_340.2843m/z,340.2843,2.21,6171.61,oleoyl glycine
9.31_133.0972m/z,133.0972,9.31,301152.74,ornithine
3.86_206.1387m/z,206.1387,3.86,17208.06,pantothenol
4.69_265.1180m/z,265.118,4.69,10504510.65,phenylacetylglutamine
6.80_166.0862m/z,166.0862,6.8,1494644.41,phenylalanine
6.81_174.1364m/z,174.1364,6.81,1365761.74,phenylalanine-d8
8.05_130.0863m/z,130.0863,8.05,87313.35,pipecolic acid
1.90_286.1435m/z,286.1435,1.9,2464409.08,piperine
8.17_116.0709m/z,116.0709,8.17,5149968.63,proline
4.19_245.0766m/z,245.0766,4.19,1502726.22,pseudouridine
8.90_169.0972m/z,169.0972,8.9,127.06,pyridoxamine
5.93_170.0811m/z,170.0811,5.93,2933.73,pyridoxine
6.85_130.0499m/z,130.0499,6.85,1671.8,pyroglutamic acid
6.42_325.1906m/z,325.1906,6.42,196068.82,quinine
9.68_203.1501m/z,203.1501,9.68,1041637.76,SDMA
7.74_106.0503m/z,106.0503,7.74,27435.81,serine
6.36_177.1022m/z,177.1022,6.36,2417.78,serotonin
5.87_302.3049m/z,302.3049,5.87,18925.82,sphinganine
1.93_300.2894m/z,300.2894,1.93,18630.62,sphingosine
1.85_250.0643m/z,250.0643,1.85,473291.15,sulfapyridine
6.17_126.0221m/z,126.0221,6.17,1249799.02,taurine
9.68_265.1115m/z,265.1115,9.68,15101.49,thiamine
7.69_120.0658m/z,120.0658,7.69,66690.2,threonine
5.75_777.6929m/z,777.6929,5.75,16430.55,thyroxine
8.93_138.0549m/z,138.0549,8.93,1082145.37,trigonelline
8.14_76.0766m/z,76.0766,8.14,299243.18,trimethylamine-N-oxide
6.60_205.0970m/z,205.097,6.6,930542.67,tryptophan
6.90_182.0811m/z,182.0811,6.9,412841.72,tyrosine
4.50_139.0502m/z,139.0502,4.5,155335.25,urocanic acid
7.50_126.1366m/z,126.1366,7.5,375019.4,valine-d8
1.75_436.2340m/z,436.234,1.75,8663.63,valsartan
5.87_455.2900m/z,455.29,5.87,34834.1,verapamil
1.73_309.1118m/z,309.1118,1.73,41734.52,warfarin
3.72_153.0407m/z,153.0407,3.72,141293.07,xanthine
2.84_259.0923m/z,259.0923,2.84,42742.29,
6.56_792.5884m/z,792.5884,6.56,3058394.35,
8.74_70.0135m/z,70.0135,8.74,903.31,
0.36_70.0660m/z,70.066,0.36,137.77,
8.17_70.0661m/z,70.0661,8.17,81997.94,
9.31_70.0661m/z,70.0661,9.31,8785.57,
1.92_71.0501m/z,71.0501,1.92,18.01,
0.35_71.0613m/z,71.0613,0.35,2.53,
0.35_71.0864m/z,71.0864,0.35,106.55,
1.61_71.0865m/z,71.0865,1.61,4354.62,
1.84_71.0865m/z,71.0865,1.84,2.33,
1.91_72.0454m/z,72.0454,1.91,236.01,
16.00_72.0691m/z,72.0691,16,212.28,
7.49_72.0817m/z,72.0817,7.49,85111.75,
0.36_72.0817m/z,72.0817,0.36,5911.72,
2.33_73.0657m/z,73.0657,2.33,2808.67,
1.98_73.0657m/z,73.0657,1.98,3692.6,
16.01_73.0770m/z,73.077,16.01,14.28,
7.49_73.0851m/z,73.0851,7.49,3871.85,
10.05_73.0851m/z,73.0851,10.05,41.4,
8.60_73.5327m/z,73.5327,8.6,704.78,
7.69_74.0610m/z,74.061,7.69,3804.99,
16.00_74.0610m/z,74.061,16,364.03,
3.43_74.0610m/z,74.061,3.43,3280.28,
6.94_74.0610m/z,74.061,6.94,1448.3,
6.86_74.0723m/z,74.0723,6.86,205.44,
0.36_74.0804m/z,74.0804,0.36,12.76,
0.36_74.0956m/z,74.0956,0.36,739.24,
7.70_74.0966m/z,74.0966,7.7,1.96,
0.36_74.0973m/z,74.0973,0.36,1428200.31,
11.30_74.0984m/z,74.0984,11.3,0.38,
11.16_74.0985m/z,74.0985,11.16,0.17,
10.48_74.0995m/z,74.0995,10.48,0.49,
7.42_74.0995m/z,74.0995,7.42,0.66,
14.09_74.0995m/z,74.0995,14.09,0.26,
9.27_74.0995m/z,74.0995,9.27,0.24,
12.38_74.0995m/z,74.0995,12.38,1.06,
13.23_74.0995m/z,74.0995,13.23,0.49,
6.85_74.0995m/z,74.0995,6.85,0.56,
7.08_74.0995m/z,74.0995,7.08,0.42,
6.90_74.0995m/z,74.0995,6.9,1.25,
0.63_74.0995m/z,74.0995,0.63,0.4,
12.90_74.0995m/z,74.0995,12.9,1.04,
9.85_74.0995m/z,74.0995,9.85,0.54,
11.98_74.0995m/z,74.0995,11.98,1.08,
8.49_74.0995m/z,74.0995,8.49,0.68,
7.56_74.0995m/z,74.0995,7.56,1.07,
0.41_74.0995m/z,74.0995,0.41,1.01,
13.68_74.0995m/z,74.0995,13.68,0.72,
11.21_74.0995m/z,74.0995,11.21,0.77,
8.42_74.0995m/z,74.0995,8.42,0.63,
14.30_74.0995m/z,74.0995,14.3,0.74,
0.38_74.0995m/z,74.0995,0.38,2.38,
15.37_74.0995m/z,74.0995,15.37,0.73,
7.24_74.1001m/z,74.1001,7.24,0.48,
15.64_74.1001m/z,74.1001,15.64,0.6,
7.15_74.1001m/z,74.1001,7.15,0.87,
11.61_74.1001m/z,74.1001,11.61,0.38,
12.46_74.1001m/z,74.1001,12.46,0.47,
10.27_74.1001m/z,74.1001,10.27,0.42,
12.22_74.1001m/z,74.1001,12.22,0.63,
10.02_74.1001m/z,74.1001,10.02,0.47,
9.78_74.1001m/z,74.1001,9.78,0.39,
9.87_74.1002m/z,74.1002,9.87,0.37,
16.00_75.0562m/z,75.0562,16,92.78,
0.36_75.1007m/z,75.1007,0.36,65327.3,
2.40_75.1014m/z,75.1014,2.4,0.23,
0.36_75.1035m/z,75.1035,0.36,1267.7,
2.05_75.1036m/z,75.1036,2.05,78.43,
8.15_76.0748m/z,76.0748,8.15,42.14,
0.36_77.0374m/z,77.0374,0.36,34.42,
14.83_77.0392m/z,77.0392,14.83,513.55,
13.88_77.0392m/z,77.0392,13.88,438.95,
15.73_77.0392m/z,77.0392,15.73,437.3,
14.88_77.0392m/z,77.0392,14.88,514.76,
15.51_77.0392m/z,77.0392,15.51,587.38,
5.29_77.0392m/z,77.0392,5.29,562.47,
14.27_77.0392m/z,77.0392,14.27,584.27,
5.26_77.0392m/z,77.0392,5.26,332.1,
14.06_77.0392m/z,77.0392,14.06,659.82,
13.11_77.0393m/z,77.0393,13.11,363.62,
13.35_77.0393m/z,77.0393,13.35,728.84,
4.74_77.0393m/z,77.0393,4.74,1439.28,
13.83_77.0393m/z,77.0393,13.83,292.27,
12.66_77.0393m/z,77.0393,12.66,561.43,
14.56_77.0393m/z,77.0393,14.56,735.12,
13.03_77.0393m/z,77.0393,13.03,794.88,
12.62_77.0393m/z,77.0393,12.62,418.11,
15.70_77.0393m/z,77.0393,15.7,587.5,
12.97_77.0393m/z,77.0393,12.97,720.59,
5.07_77.0393m/z,77.0393,5.07,2452.67,
4.78_77.0393m/z,77.0393,4.78,370.76,
12.31_77.0393m/z,77.0393,12.31,473.95,
4.91_77.0393m/z,77.0393,4.91,712,
4.60_77.0393m/z,77.0393,4.6,1806.21,
4.51_77.0393m/z,77.0393,4.51,423.24,
13.85_77.0393m/z,77.0393,13.85,364.36,
13.25_77.0393m/z,77.0393,13.25,292.23,
12.77_77.0393m/z,77.0393,12.77,427.18,
4.65_77.0393m/z,77.0393,4.65,1155,
0.36_77.0393m/z,77.0393,0.36,15095.33,
14.21_77.0393m/z,77.0393,14.21,366.41,
16.00_77.0393m/z,77.0393,16,269.3,
12.13_77.0393m/z,77.0393,12.13,666.57,
15.87_77.0393m/z,77.0393,15.87,733.82,
4.69_77.0393m/z,77.0393,4.69,742,
13.64_77.0393m/z,77.0393,13.64,365.82,
5.00_77.0393m/z,77.0393,5,600.5,
14.75_77.0393m/z,77.0393,14.75,514.29,
13.71_77.0393m/z,77.0393,13.71,587.21,
2.57_77.0393m/z,77.0393,2.57,169.42,
13.40_77.0393m/z,77.0393,13.4,586.69,
