Compound_ID,MZ,RT,Intensity,Metabolite
QI266,906.8447,12.69,1437067.871,321_NH4_C54:1 TAG
QI267,921.7865,12.34,745491.8391,322_C55:3 TAG
QI268,923.8013,12.59,558130.6309,324_C55:2 TAG
QI269,921.6929,11.03,959883.7776,326_C56:10 TAG
QI270,916.7376,10.96,287920.2032,327_NH4_C56:10 TAG
QI271,923.7075,11.21,4538552.306,328_C56:9 TAG
QI272,918.7532,11.22,2007528.557,329_NH4_C56:9 TAG
QI273,925.7224,11.45,13633318.35,330_C56:8 TAG
QI274,920.7678,11.45,19437471.28,331_NH4_C56:8 TAG
QI275,927.7388,11.69,8278060.198,332_C56:7 TAG
QI276,922.7833,11.69,30067117.12,333_NH4_C56:7 TAG
QI277,929.7542,11.89,9545612.13,334_C56:6 TAG
QI278,924.7989,11.89,25958618.43,335_NH4_C56:6 TAG
QI279,931.7702,12.13,5614932.733,336_C56:5 TAG
QI280,926.8149,12.13,9010036.964,337_NH4_C56:5 TAG
QI281,933.7858,12.26,6101067.304,338_C56:4 TAG
QI282,928.8308,12.26,5358200.022,339_NH4_C56:4 TAG
QI283,935.802,12.5,4484905.3,340_C56:3 TAG
QI284,930.8469,12.5,2010273.83,341_NH4_C56:3 TAG
QI285,937.8152,12.77,2928057.671,342_C56:2 TAG
QI286,932.8625,12.77,568941.0919,343_NH4_C56:2 TAG
QI287,939.8348,13.08,426632.9133,344_C56:1 TAG
QI288,934.878,13.08,83164.43941,345_NH4_C56:1 TAG
QI289,947.7075,11.13,1583806.646,346_C58:11 TAG
QI290,942.754,11.13,742589.2227,347_NH4_C58:11 TAG
QI291,949.7224,11.31,3925791.233,348_C58:10 TAG
QI292,944.7677,11.37,3339283.198,349_NH4_C58:10 TAG
QI293,951.7392,11.54,2506659.356,350_C58:9 TAG
QI294,946.7821,11.55,6407176.939,351_NH4_C58:9 TAG
QI295,955.7703,12.02,631827.1434,354_C58:7 TAG
QI296,950.8146,12.02,1848217.137,355_NH4_C58:7 TAG
QI297,957.7856,12.14,1495763.802,356_C58:6 TAG
QI298,952.8304,12.14,2351306.457,357_NH4_C58:6 TAG
QI299,973.7226,11.28,1240910.772,358_C60:12 TAG
QI300,968.7668,11.33,1212434.685,359_NH4_C60:12 TAG
QI301,369.3509,7.3,3428198.121,361_cholesterol
QI302,401.377,7.3,8054.220222,362_campesterol
QI303,286.1432,3.69,95760.70136,365_piperine
QI304,200.1641,3.23,33937.50168,
QI305,200.1722,4.3,4451.17719,
QI306,200.2006,4.1,111435.2419,
QI307,200.237,3.86,1943.576811,
QI308,201.0464,3.61,159.8824714,
QI309,201.0464,3.53,96.9769086,
QI310,201.1269,3.75,3788.174009,
QI311,201.127,3.68,5042.555819,
QI312,201.1271,3.95,2235.961454,
QI313,201.1633,11.74,8502.084854,
QI314,201.1635,3.77,1973.793379,
QI315,203.0434,3.61,36.00886919,
QI316,203.0435,3.53,22.26482826,
QI317,203.1064,3.78,4179.159947,
QI318,203.1065,3.99,6415.391856,
QI319,203.1387,2.5,6217.740064,
QI320,203.1431,3.9,4624.656791,
QI321,203.1789,11.61,1729.808816,
QI322,203.179,12.05,3824.580928,
QI323,203.1791,11.74,12619.70408,
QI324,203.1791,11.97,1751.655414,
QI325,205.0857,4.06,39390.35702,
QI326,205.1219,3.67,3930.359545,
QI327,205.122,3.48,16324.93822,
QI328,205.1222,3.34,2872.287005,
QI329,205.1945,11.74,1593.490657,
QI330,207.0907,3.66,142.5848541,
QI331,207.1377,3.72,22716.17108,
QI332,207.1378,3.87,17205.90601,
QI333,207.1378,3.34,102746.8364,
QI334,207.1741,3.89,3159.411777,
QI335,207.1742,3.65,1217.870695,
QI336,207.1742,4.02,4238.124141,
QI337,208.1306,2.93,6169.107345,
QI338,208.1307,3.06,10850.73388,
QI339,208.1672,3.97,412.8794455,
QI340,208.1695,3.54,6504.572468,
QI341,209.117,3.86,4256.088905,
QI342,209.1537,3.76,23766.04612,
QI343,209.1539,3.92,8106.132024,
QI344,209.165,3.59,3899.387397,
QI345,209.1675,3.61,19.05982461,
QI346,209.1897,4.22,3706.231107,
QI347,209.1897,3.97,8319.926163,
QI348,209.1897,3.76,1521.590803,
QI349,209.1897,3.84,2657.616438,
QI350,210.1853,3.94,169.6747108,
QI351,211.0964,3.19,1035.763682,
QI352,211.109,4.13,435.0012989,
QI353,211.1306,2.87,3528.313824,
QI354,211.1307,3.08,612.8452536,
QI355,211.1692,3.89,12374.41017,
QI356,211.1692,3.62,9382.033778,
QI357,212.162,3.45,326.23343,
